release_year,average_runtime,R_count
1971,142.8,1
1972,110.33,1
1973,123.1,3
1974,114.17,2
1975,109.33,0
1976,124.44,2
1977,133.5,0
1978,90.83,1
1979,122.5,2
1980,123.44,3
1981,128.75,1
1982,124.47,2
1983,113.89,0
1984,132.89,0
1985,117.13,0
1986,112.25,2
1987,101.57,2
1988,101.64,4
1989,110.75,0
1990,113.59,3
1991,89.0,1
1992,104.0,8
1993,118.11,3
1994,124.07,3
1995,115.47,3
1996,125.38,8
1997,116.96,11
1998,107.96,7
1999,121.88,6
2000,111.37,7
2001,118.88,12
2002,118.87,10
2003,117.13,10
2004,115.94,5
2005,114.36,10
2006,114.54,8
2007,113.07,13
2008,106.67,16
2009,108.62,24
2010,104.43,22
2011,102.83,16
2012,100.62,25
2013,98.75,35
2014,100.27,42
2015,99.83,60
2016,95.11,79
2017,94.84,68
2018,96.17,43
2019,93.46,33
2020,89.8,41
2021,80.17,1
